country_name,place_name,expected_budget_in_INR,actual_budget_in_INR,description_of_tourism_place
France,Eiffel Tower,30000,35000,"The iconic Eiffel Tower is a must-see landmark in Paris."
France,Louvre Museum,15000,18000,"Home to thousands of works of art, including the Mona Lisa."
France,Versailles Palace,25000,27000,"A grand palace with opulent interiors and magnificent gardens."
France,Mont Saint-Michel,20000,22000,"A stunning island commune known for its medieval architecture."
France,Notre-Dame Cathedral,12000,15000,"A masterpiece of Gothic architecture located in Paris."
France,Arc de Triomphe,10000,12000,"An iconic monument honoring those who fought and died during the French Revolution."
France,Disneyland Paris,35000,40000,"A magical theme park located just outside Paris, perfect for families."
France,The French Riviera,45000,50000,"A glamorous coastline with beaches, resorts, and charming towns."
France,Sainte-Chapelle,10000,12000,"A Gothic chapel famous for its stunning stained glass windows."
France,Château de Chambord,20000,22000,"A Renaissance castle located in the Loire Valley."
France,Pont du Gard,15000,17000,"A well-preserved Roman aqueduct bridge located in southern France."
France,Les Champs-Élysées,20000,22000,"One of the most famous avenues in the world, lined with theaters and shops."

Japan,Tokyo Tower,25000,27000,"A symbol of Tokyo, offering great views of the city from its observation deck."
Japan,Kyoto's Kinkaku-ji,18000,20000,"The Golden Pavilion is a Zen Buddhist temple covered in gold leaf."
Japan,Fushimi Inari Shrine,15000,18000,"A famous shrine known for its thousands of red torii gates."
Japan,Mount Fuji,35000,40000,"Japan's highest mountain, perfect for climbing and sightseeing."
Japan,Osaka Castle,25000,27000,"A historical castle with beautiful gardens and a museum."
Japan,Shibuya Crossing,10000,12000,"The busiest pedestrian crossing in the world, located in Tokyo."
Japan,Hiroshima Peace Memorial,12000,15000,"A somber yet significant historical site dedicated to peace."
Japan,Disneyland Tokyo,35000,40000,"A world-famous theme park with iconic Disney characters."
Japan,Shinjuku Gyoen National Garden,15000,18000,"A beautiful park in the heart of Tokyo, perfect for a peaceful stroll."
Japan,Meiji Shrine,10000,12000,"A Shinto shrine dedicated to Emperor Meiji and Empress Shoken."
Japan,Akihabara,20000,22000,"Known for its electronics shops, gaming centers, and anime culture."
