country_name,expected_budget_in_INR,actual_budget_in_INR,description
France,150000,170000,"Explore Paris and the Eiffel Tower."
Japan,180000,195000,"Discover Tokyo's neon streets and temples."
Italy,130000,140000,"Visit Rome's ancient ruins and enjoy Italian cuisine."
Thailand,70000,85000,"Relax on tropical beaches and experience vibrant culture."
Australia,200000,220000,"See Sydney's Opera House and stunning landscapes."
America,250000,270000,"Visit iconic cities like New York and Los Angeles."
Canada,180000,200000,"Explore natural wonders like Banff and Niagara Falls."
New Zealand,160000,175000,"Discover adventure in the land of stunning landscapes."
Germany,140000,150000,"Visit Berlin’s historic sites and Oktoberfest."
Spain,120000,130000,"Enjoy Barcelona’s architecture and sunny beaches."
Brazil,100000,110000,"Experience Rio de Janeiro’s beaches and vibrant festivals."
South Africa,130000,140000,"Go on a safari and visit Cape Town’s landmarks."
Switzerland,220000,240000,"Ski in the Alps and explore picturesque cities like Zurich."
United Kingdom,180000,190000,"Visit London’s famous landmarks and the English countryside."
South Korea,170000,180000,"Explore Seoul’s shopping streets and traditional palaces."
Mexico,90000,100000,"Enjoy the rich history and beaches of Cancun and Mexico City."
